,endTime,artistName,trackName,msPlayed,minsPlayed
295,2021-08-31 07:12,IA,Conqueror,2036,0.033933333333333336
296,2021-08-31 07:12,Imagine Dragons,Whatever It Takes,1480,0.024666666666666667
297,2021-08-31 07:16,Unlike Pluto,Everything Black,228979,3.816316666666667
298,2021-08-31 07:18,Joel Corry,Head & Heart (feat. MNEK),166028,2.7671333333333332
299,2021-08-31 07:19,Vicetone,Nevada,44500,0.7416666666666667
300,2021-08-31 07:22,Alec Benjamin,The Way You Felt,172217,2.8702833333333335
301,2021-08-31 07:24,Yu-Peng Chen,Rex Incognito,765,0.01275
302,2021-08-31 07:24,Macklemore,Glorious (feat. Skylar Grey),50063,0.8343833333333334
303,2021-08-31 07:27,Macklemore,Glorious (feat. Skylar Grey),220454,3.6742333333333335
304,2021-08-31 07:29,Yu-Peng Chen,Rex Incognito,93194,1.5532333333333332
305,2021-08-31 07:33,Fort Minor,Remember the Name (feat. Styles of Beyond),230493,3.84155
306,2021-08-31 07:34,Song Jin Suk,Questo edificio è mio,1310,0.021833333333333333
307,2021-08-31 07:34,Melonia,Sweet Child O' Mine,66238,1.1039666666666668
308,2021-08-31 07:34,SHINee,Don't Call Me,11202,0.1867
309,2021-08-31 07:35,DNCE,Cake By The Ocean,32241,0.53735
310,2021-08-31 07:38,Beyoncé,Run the World (Girls),236093,3.9348833333333335
311,2021-08-31 07:41,Beyoncé,Run the World (Girls),162598,2.709966666666667
312,2021-08-31 07:43,Beyoncé,Run the World (Girls),95000,1.5833333333333333
313,2021-08-31 07:46,Majestic,Rasputin,186209,3.103483333333333
314,2021-08-31 07:49,Panic! At The Disco,High Hopes,190946,3.1824333333333334
315,2021-08-31 07:50,Dua Lipa,Don't Start Now,55836,0.9306
316,2021-08-31 07:53,Jonas Brothers,Sucker,1095,0.01825
317,2021-08-31 07:53,Jason Derulo,Take You Dancing,182476,3.0412666666666666
318,2021-08-31 07:54,5 Seconds of Summer,Youngblood,77393,1.2898833333333333
319,2021-08-31 07:54,Ava Max,My Head & My Heart,5131,0.08551666666666667
320,2021-08-31 07:55,Tobtok,New Levels (feat. Mila Falls),472,0.007866666666666666
321,2021-08-31 07:55,Jamie Miller,Here's Your Perfect,2867,0.04778333333333333
322,2021-08-31 07:55,Panic! At The Disco,High Hopes,9707,0.16178333333333333
323,2021-08-31 07:55,Conan Gray,People Watching,12282,0.2047
324,2021-08-31 07:56,B-Case,Can't Buy Love (feat. Baby E),35034,0.5839
325,2021-08-31 08:10,The Journal.,United States v. Elizabeth Holmes,835694,13.928233333333333
326,2021-09-01 09:55,"Think Fast, Talk Smart: Communication Techniques",The New Normal: How Hybrid Work Actually Works,941422,15.690366666666666
327,2021-09-01 09:58,Infinite Loops,Tom Morgan — Curation in the Age of Information Abundance (EP.61),107509,1.7918166666666666
328,2021-09-01 09:58,Infinite Loops,Massimo Marinelli — Premier League Economics & Sports Investing (EP.60),6210,0.1035
329,2021-09-01 10:14,Infinite Loops,Tom Morgan — Curation in the Age of Information Abundance (EP.61),953114,15.885233333333334
330,2021-09-02 00:13,Infinite Loops,Tom Morgan — Curation in the Age of Information Abundance (EP.61),1877734,31.295566666666666
331,2021-09-02 11:19,Imagine Dragons,Believer,79269,1.32115
332,2021-09-02 11:30,Imagine Dragons,Believer,30837,0.51395
333,2021-09-02 11:40,Infinite Loops,Tom Morgan — Curation in the Age of Information Abundance (EP.61),603102,10.0517
334,2021-09-02 11:40,The Economist Podcasts,Gamechangers: More than just a game,1476,0.0246
335,2021-09-02 11:51,Infinite Loops,Tom Morgan — Curation in the Age of Information Abundance (EP.61),645299,10.754983333333334
336,2021-09-02 11:52,Clean Bandit,Higher (feat. iann dior),11152,0.18586666666666668
337,2021-09-02 11:52,Monsta X,GAMBLER,1933,0.032216666666666664
338,2021-09-02 11:52,Fall Out Boy,Irresistible,1510,0.025166666666666667
